,url
0,https://gst.registrationwala.com/gst-impact/impact-of-gst-on-the-automobile-industry
1,http://bwdisrupt.businessworld.in/article/Impact-of-GST-on-Automobiles-Sector/16-05-2017-118269
2,https://www.linkedin.com/pulse/how-gst-impact-indian-automobile-industry-ca-priyanka-mayank-wadhera
3,http://www.firstpost.com/business/gst-impact-tv-ac-washing-machines-to-cost-more-smartphones-small-cars-to-be-cheaper-3491541.html
4,http://www.blog.vctaxreturn.com/2017/02/15/impact-of-gst-on-indian-automobile-industry/
5,http://www.gstvenue.in/gst-impact-on-automobile-sector-small-and-mid-segment-cars-may-see-small-hike-in-prices-under-gst/
6,http://www.businesstoday.in/opinion/perspective/gst-win-win-for-auto-industry-you-delay-your-car-buying-plan/story/235798.html
7,http://www.weba7.com/impact-of-gst-on-small-cars/
8,http://www.gstindia.com/small-car-prices-may-tumble-on-gst-implementation/
9,http://www.team-bhp.com/forum/indian-car-scene/170305-gst-effect-car-prices-13.html
10,https://www.cardekho.com/india-car-news/gst-effect-premium-cars-become-more-enticing-20353.htm
11,http://www.business-standard.com/article/economy-policy/gst-small-cars-to-get-in-the-costlier-lane-117051900068_1.html
12,http://overdrive.in/news/gst-impact-reactions-from-the-indian-automobile-fraternity/
13,http://www.financialexpress.com/auto/car-news/how-would-gst-affect-passenger-car-and-motorcycle-prices/622345/
14,http://www.news18.com/news/auto/gst-rate-on-hybrid-vehicles-against-green-mobility-auto-industry-1408503.html
15,http://www.ey.com/in/en/newsroom/news-releases/ey-gst-impact-on-the-auto-industry
16,http://www.carblogindia.com/gst-affect-car-price/
17,http://m.economictimes.com/industry/auto/gst-rates-will-help-stimulate-demand-in-auto-sector-industry-body-siam/articleshow/58752973.cms?from=desktop
18,http://www.forbesindia.com/blog/economy-policy/budget-2017-automobile-sector-looks-for-quick-respite/
19,http://www.thehindubusinessline.com/economy/gst-rates-to-benefit-auto-industry-says-siam/article9708025.ece
20,https://www.google.co.in/
21,http://www.outlookindia.com/website/story/impact-of-gst-on-car-prices-in-india/299014
22,http://overdrive.in/news/impact-of-gst-on-indian-auto-industry/
23,http://www.blog.venture-care.com/2016/10/10/impact-of-gst-on-indian-automobile-industry/
24,https://www.taxmann.com/Datafolder/news/News7093.htm
25,https://www.atkearney.in/documents/10192/7478931/Gearing+Up+to+Transform+Indias+Automotive+Supply+Chain+in+the+GST+Environment.pdf/4a364c95-d9d7-4830-addf-921b40ebf3e2
26,http://www.thehindu.com/business/small-diesel-car-prices-to-go-up-after-gst-enforcement/article18515842.ece
27,https://auto.ndtv.com/news/gst-impact-small-cars-to-cost-more-luxury-cars-two-wheelers-could-benefit-1695669
28,https://www.truebil.com/blog/will-gst-impact-the-indian-automotive-sector-directly
29,http://www.abplive.in/auto/gst-bill-how-it-affects-the-auto-sector-391864
30,https://blog.ipleaders.in/will-implications-gst-automobile-industry/
31,http://www.mycarhelpline.com/index.php?Itemid=10&n_id=1419&option=com_latestnews&view=detail
32,http://blog.saginfotech.com/gst-impact-on-automobile-industry-in-india
33,http://nrinews24x7.com/gst-impact-automobile-industry-nippon-audiotronix/
34,http://www.autocarindia.com/auto-news/impact-of-gst-on-auto-industry-402707.aspx
35,https://www.legalraasta.com/gst/impact-of-gst-on-automobile-sector/
36,http://auto.economictimes.indiatimes.com/news/policy/benefits-challenges-for-auto-sector-in-gst-bill/53541153
37,http://www.zeebiz.com/companies/news-gst-rates-planning-to-buy-a-car-or-a-bike-read-this-first-16414
38,https://www.cartrade.com/blog/2016/auto-guides/how-gst-will-affect-the-indian-car-industry-1865.html
39,https://blog.cars24.com/impact-gst-indian-car-industry/
40,http://www.livemint.com/Politics/88Z3qtRl05TtHH5yANNQCN/Whats-in-GST-for-car-buyers.html
41,http://gstindiaupdates.com/gst-impact-on-automobile-sector-small-and-mid-segment-cars-may-see-small-hike-in-prices-under-gst/
42,https://www.indiacarnews.com/news/mercedes-gst-impact-18853/
43,https://autoportal.com/articles/
44,http://www.livemint.com/Industry/TFXpZHH54zhMAkkbqPBGeJ/GST-may-bring-cheer-for-premium-luxury-car-buyers.html
45,http://www.siamindia.com/economic-afairs.aspx?mpgid=16&pgid1=18&pgidtrail=21
46,https://www.youtube.com/watch?v=BkeocFnkY0g
47,https://cleartax.in/s/gst-impact-automobile-industry
48,http://www.rediff.com/money/report/how-the-gst-bill-will-impact-sectors-and-stocks/20160803.htm
49,http://www.motorzest.com/2015/04/impact-of-gst-on-indian-automobile.html
50,https://gst.caknowledge.in/impact-gst-automobile-sector/
51,http://carajput.com/learn/post.php?page=gst-impact-on-automobile-sector
52,http://www.gstreadyindia.com/gst-impact-automobile-industry/
53,http://www.drivespark.com/four-wheelers/2017/impact-of-gst-on-automobile-industry-022115.html
54,http://www.automotiveml.com/blog/small-car-prices-will-down-slightly-india-gst
55,https://www.pressreader.com/india/business-standard/20170404/281569470574993
56,http://www.onlinegst.in/impact-of-gst-on-auto-industry/
