,url
0,http://carajput.com/learn/post.php?page=impact-of-gst-on-importers-and-exporters
1,http://www.thehindubusinessline.com/opinion/gst-and-exports-in-india/article9226928.ece
2,http://exportexpertsindia.com/few-things-to-know-about-gst-goods-and-services-tax-in-india/
3,https://www.linkedin.com/pulse/gst-impact-indias-exports-gst-ready-india
4,https://tejas.iimb.ac.in/interviews/27.php
5,http://www.gstreadyindia.com/gst-impact-on-indias-exports/
6,http://www.thehindu.com/business/Industry/gst-to-boost-indias-export-growth-says-sitharaman/article18515535.ece
7,http://www.gstindia.com/tag/gst-exports/
8,https://www.youtube.com/watch?v=FxRZKQT_u-U
9,https://answers.sap.com/questions/176596/gst-impact-on-export-sales.html
10,http://www.quickbooks.in/r/gst/gst-impact-information-technology/
11,http://www.business-standard.com/article/economy-policy/gst-impels-review-of-export-incentives-117042801347_1.html
12,http://www.gstindiaonline.com/pages/gstlegislation/article/arp/cur/01/04.asp
13,https://www.google.co.in/
14,http://www.financialexpress.com/opinion/gst-and-services-exports-back-to-pre-negative-list-era-growth-may-well-get-affected/574169/
15,https://www.telegraphindia.com/1170501/jsp/business/story_149165.jsp
16,http://taxguru.in/goods-and-service-tax/impact-gst-export.html
17,https://en.wikipedia.org/wiki/Goods_and_Services_Tax_(India)
18,http://pn.ispirt.in/how-gst-will-work-for-software-exporters/
19,https://www.taxmanagementindia.com/visitor/detail_article.asp?ArticleID=6970&kw=goods-service-tax-impact-imports-exports-foreign-trade-policy
20,http://www.bmradvisors.com/bmrmailer/gst/4-gstandcustoms.htm
21,https://cleartax.in/s/gst-impact-on-import
22,http://www.smetimes.in/smetimes/news/top-stories/2017/May/26/gst-liquidity-crisis-interest-burden-will-impact-sme1634886.html
23,http://www.livemint.com/Politics/WkTVKHaDbTo7IlUmOPpVqK/GST-rates-Concern-over-impact-on-exports-of-textiles-jewel.html
24,https://www.falconautoonline.com/goods-services-tax-gst-simply-overrated/
25,https://www.hubco.in/articles/gst-impact-on-exports-and-current-account-deficit-cad
26,http://www.customs.gov.my/en/ip/Pages/ip_imp.aspx
27,https://www.fashionatingworld.com/new1-2/gst-rates-concern-over-impact-on-exports-of-textiles-jewellery
28,http://www.ey.com/in/en/newsroom/news-releases/pe-ey-gst-does-not-give-confidence-to-exporting-community
29,http://www.dnaindia.com/money/report-gst-will-bring-foreign-investors-flocking-to-india-boost-exports-2241385
30,https://www.cmaclubindia.com/2016/10/13/imports-and-exports-under-gst/
31,http://www.cra-arc.gc.ca/tx/bsnss/tpcs/gst-tps/gnrl/txbl/mprtsxprts/menu-eng.html
32,https://home.kpmg.com/in/en/home/insights/2016/05/gst-article-10.html
33,http://goodsandservicetax.in/GST/p=965/Goods-and-Service-Tax-Impact-on-Imports-Exports-Foreign-Trade-Policy/
34,http://www.news18.com/news/business/commerce-ministry-to-make-changes-in-export-schemes-after-gst-1366317.html
35,http://www.academia.edu/24836048/A_Study_on_GST_Implementation_and_its_Impact_on_Indian_Industrial_Sectors_and_Export
36,http://www.gatewayhouse.in/gst-adding-edge-to-exports/
37,http://www.eximin.net/NewsDetails.aspx?name=33406
38,http://icfo.co.in/gst-and-its-impact-on-indias-gdp/
39,http://www.zeebiz.com/india/in-depth-will-gst-help-india-ramp-up-exports-4570
40,http://worldtradescanner.com/FIEO%20Worried%20on%20Export%20Impact%20of%20High%20GST.htm
41,http://howtoexportimport.com/GST-for-Exporters-in-India-2398.aspx
42,http://www.moneycontrol.com/news/business/companies/gst-will-help-exports-for-capital-goods-industry-thermax-975584.html
43,https://www.taxmann.com/Datafolder/news/News6455.htm
44,https://www.quora.com/What-is-the-impact-of-GST-on-commodity-exporters-from-India
45,https://www.legalraasta.com/gst/import-export/
46,http://blogs.tallysolutions.com/gst-imports-and-exports/
47,http://markitsolutions.in/blog/how-are-imports-and-exports-treated-in-gst/
48,http://economictimes.indiatimes.com/news/economy/policy/gst-relief-for-exporters-some-refunds-to-continue/articleshow/57742053.cms
49,https://gstsuvidhaonline.com/Blog/Archive/2017/5/export-growth-in-gst-regime
50,http://www.caclubindia.com/articles/gst-impact-on-exports-and-current-account-deficit-cad--28795.asp
51,http://www.onlinegst.in/impact-of-gst-on-import-and-export/
