,url
0,http://ezybizindia.in/impact-gst-manufacturing-sector/
1,http://economictimes.indiatimes.com/news/economy/policy/gst-impact-across-sectors-take-a-look-at-the-winners-and-losers/articleshow/53532907.cms
2,http://employmentnews.gov.in/NewEmp/MoreContentNew.aspx?n=SpecialContent&k=93
3,https://www.omicsonline.com/open-access/a-research-paper-on-an-impact-of-goods-and-service-tax-gst-on-indianeconomy-2151-6219-1000264.php?aid=82626
4,https://www.axisbank.com/docs/default-source/default-document-library/Axis-Bank-GSTPharma.pdf?sfvrsn=2
5,http://www.ibef.org/blogs/decoding-gst-for-manufacturing-smes
6,http://www.ey.com/in/en/newsroom/news-releases/ey-gst-impact-on-the-auto-industry
7,http://taxguru.in/goods-and-service-tax/gst-business-impact-analysis-manufacturing-companies.html
8,http://www.gstreadyindia.com/gst-on-manufacturing/
9,https://gst.caknowledge.in/gst-impact-on-manufacturers/
10,http://www.gstindiaonline.com/pages/gstlegislation/article/arp/cur/01/04.asp
11,https://www.google.co.in/
12,http://www.yash.com/blog/gst-impact-on-manufacturing-industry-part2/
13,http://www.tele.net.in/trends-a-developments/item/20944-gst-impact-discontinuing-incentives-could-hit-domestic-manufacturing
14,https://www.taxmanagementindia.com/visitor/detail_article.asp?ArticleID=7006&kw=Update
15,http://www.fforce.in/impact-of-gst-on-manufacturing-industry/
16,http://carajput.com/learn/post.php?page=gst-impact-on-manufacturing-sector
17,http://mahindralogistics.com/logiquest/assets/pdf/LogiQuest_EastCoastExpress_NMIMS.PDF
18,https://blog.hrblock.in/goods-and-services-tax/will-manufacturing-industry-affected-gst/
19,https://cleartax.in/s/impact-of-gst-rate-on-furniture-manufacturers
20,https://www.arshaconsulting.com/gst-tax-reform-will-make-the-manufacturing-industry-more-competitive/
21,http://www.caclubindia.com/articles/gst-business-impact-analysis-on-manufacturing-sector-29304.asp
22,https://www.linkedin.com/pulse/gst-impact-manufacturing-industry-sandesh-mundra
23,http://www.business-standard.com/article/economy-policy/gst-impact-on-major-manufacturing-sectors-to-be-largely-neutral-crisil-117051901386_1.html
24,https://www.quora.com/How-would-GST-impact-the-Indian-manufacturing-and-service-based-industries
25,http://www.infotechlead.com/devices/tech-players-brace-for-gst-impact-want-manufacturing-norms-to-ease-46947
26,https://www2.deloitte.com/in/en/pages/tax/articles/gst-impact-on-industries.html
27,https://www.slideshare.net/sandeshmundra/impact-of-gst-on-manufacturing-sector
28,http://blog.saginfotech.com/gst-impact-on-mobile-phone-manufacturers-india
29,http://www.deskera.in/impact-of-gst-on-indian-manufacturing/
30,http://www.bmradvisors.com/bmrmailer/gst/3-manufacturing.htm
31,https://www.gstseva.com/negative-impact-on-manufacturer/
32,http://www.businesstoday.in/opinion/perspective/manufacturing-companies-likely-to-gain-most-from-gst/story/226936.html
33,http://www.mondaq.com/india/x/514010/sales+taxes+VAT+GST/GST+Impact+Manufacturing+Sector
34,http://www.news18.com/news/tech/budget-2017-tech-players-brace-for-gst-impact-want-manufacturing-norms-to-ease-1342743.html
35,https://www.avalara.com/in/2017/01/30/gst-growth-opportunity-manufacturing/
36,http://knowledgehub-asia.com/the-effect-of-gst-in-business-operation-for-manufacturing-sector-mandarin-version/
37,http://www.nuffoodsspectrum.in/inner_view_single_details.php?page=1&content_type=&vrtcl_panel_nm=&ele_id=NOR_5808a2dd1a3655.64314279
38,http://www.grantthornton.in/events/the-impact-of-gst-on--indias-manufacturing-sector/
39,https://www.youtube.com/watch?v=DFvyO-TD_VU
40,https://enterslice.com/learning/impact-gst-manufacturing-sector/
41,http://dailyworld.in/tech-players-brace-for-gst-impact-want-manufacturing-norms-to-ease/
42,http://www.cio.in/cio-interview/indian-manufacturing-en-route-shining-2017
43,http://hindisharemarket.com/gst-impact-on-manufacturing-sector-%E0%A4%95%E0%A5%80-%E0%A4%9C%E0%A4%BE%E0%A4%A8%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80/
44,http://www.onlinegst.in/gst-and-the-manufacturing-sector/
45,http://sailotech.com/gst-impact-on-the-manufacturing-sector-in-india/
46,http://businessworld.in/article/Impact-Of-GST-On-Various-Sectors-In-India/04-08-2016-104041
47,https://blog.ipleaders.in/gst-manufacturing-sector/
48,http://www.usibc.com/events/impact-gst-indias-manufacturing-sector
49,http://www.livemint.com/Industry/K9zMRdmz4t9hBspW9vDcXN/Oil-and-gas-firms-say-GST-will-impact-production-expansion.html
50,http://www.thehindubusinessline.com/economy/manufacturing-states-will-be-net-gainers-under-gst-says-jaitley/article8748910.ece
51,https://thewire.in/132208/gst-small-enterprises-manufacturers/
52,https://www.legalraasta.com/gst/impact-gst-manufacturing-sector/
