,text
0,"Impact of GST on Manufacturing Sector - Online GST Registration 306, 3rd Floor, Vishwasadan Tower, District Center, Janak Puri, New Delhi-110058 Mon - Sat 10.30 - 7.00 Sunday CLOSED 9899217778 Home Advisory & Compliance Indian Advisory Auditing Services Advisory Service Assessment and Litigation Outsource Accounting Winding up of a Company Other Service Transfer Pricing Valuation Service Buy & Sell Business Project Report FORM 15CA and 15CB Foreign Advisory Foreign Routine Compliances Foreign Assessment and Litigation Foreign Advisory Service Foreign Funding Service Start a Business Indian Business Public Limited Company New Private Limited Company Registration Private Limited Company Limited Liability Partnership (LLP) Partnership Firm Proprietorship Firm NGO Registration ESI & PF Registration Foreign Business Wholly Owned Subsidiary Branch Office Liaison Office Project Office FRRO Registration Business Registrations GST Registration VAT Registration Service Tax Registration Import Export Code (IEC) Cooperative Society Registration FSSAI Registration Shop and Establishment Registration Tax Return Filing Returns Income Tax Return Sales Tax Return Service Tax Return NRI Tax Return Special Offer Funding Service Home Advisory & Compliance Indian Advisory Auditing Services Advisory Service Assessment and Litigation Outsource Accounting Winding up of a Company Other Service Transfer Pricing Valuation Service Buy & Sell Business Project Report FORM 15CA and 15CB Foreign Advisory Foreign Routine Compliances Foreign Assessment and Litigation Foreign Advisory Service Foreign Funding Service Start a Business Indian Business Public Limited Company New Private Limited Company Registration Private Limited Company Limited Liability Partnership (LLP) Partnership Firm Proprietorship Firm NGO Registration ESI & PF Registration Foreign Business Wholly Owned Subsidiary Branch Office Liaison Office Project Office FRRO Registration Business Registrations GST Registration VAT Registration Service Tax Registration Import Export Code (IEC) Cooperative Society Registration FSSAI Registration Shop and Establishment Registration Tax Return Filing Returns Income Tax Return Sales Tax Return Service Tax Return NRI Tax Return Special Offer Funding Service 9899217778 Mon - Sat 10.30 - 7.00 Sunday CLOSED 306, 3rd Floor, Vishwasadan Tower, District Center, Janak Puri, New Delhi-110058 Home Blog GST Registration Impact of GST on Manufacturing Sector Impact of GST on Manufacturing Sector Nowadays, a lot of talks are going on relating to the migration of existing VAT, Service Tax, and Excise registrations into Online GST Registration . Let us understand what impact would GST (Goods and Service Tax Act) registration would be in the manufacturing sector. In today’s globalized world, integrated economies synonymies with fast pace competition caused due to sophistication and technological up gradation witnessed by the various manufacturer, traders, and government. Undoubtedly, the manufacturing sector is the heart of the country’s economy. Industrialization fostered the growth of manufacturing sector thereby improving the economic condition by cultivating self-sufficiency. Before any product or service reaches to a consumer, it has to pass through numerous stages, and presently, different taxes such as Vat, CST, Excise duty and other tariff barriers were levied upon those commodities. GST is the path-breaking initiative of the government to equalize the tax payment system for those who apply for same. The economy demanded reforms for tackling several issues prevailing therein. These indirect taxes do have an impact on the sector, as they influence the price in a significant manner and the consumer takes a buying decision by keeping the price of a particular commodity into mind. Online GST Registration In all likelihood, GST law will come into force from 1 st July 2017, thereby redesigning the tax structure of the economy. The fundamental purpose of promoting GST is to foster economic growth and development in the economy by easing up the complicated tax structures so that they serve advantageously for both producers and consumers. Although it has been formulated to provide immense benefits to both small and big manufacturers, its crucial aspects serving better for the economy can have adverse effects on the producers too. A unique GST identification is provided to every manufacturer who completes the process of Online GST Registration . Impacts on the manufacturing sector Positive Impacts Single Tax Regime: Under present tax structure, a manufacturer has to pay multiple taxes like VAT, service tax, Excise, Octroi, etc. This leads to increase in the cost of manufacturing and increase in prices of goods. GST regime aims to simplify the complications by introducing the single tax. Although GST itself is divided into three parts, its enforcement will improve the condition of manufactures and will also reduce the cost of production. Reduction in Tax rate: Presently, a manufacturer has to pay VAT @ 14%, Service Tax @ 15%, Excise @ 10% etc. The combined effect of all taxes is that approx.30 to 40% taxes need to be paid under the Indirect tax. This leads to increase in the cost of production, and the ultimate burden falls upon consumer regarding high price of products. GST serves as a boon in the eradication of such complications. With its introduction, costs of manufacture and consumption will reduce which will also provide relief to ultimate consumers. Reduction in litigation Presently, a lot of ambiguity remains as to whether the product will fall under goods or service and whether VAT will be applicable or Service tax will be applicable. This issue is completely resolved under the GST. As this tax is chargeable on “ supply of goods or services ” instead of the sale of goods or provision of service. Reduction in documentation, compliance & Tax assessments Under GST, there will be a reduction in documentation and compliance since instead of compliance with 3 -4 revenue department, the single department will be responsible for assessment and compliance. The current tax regime involves the participation of different tax assessment authorities for assessing various taxes. But the GST regime provides due relief by fixing the assessment authorities such as central authorities for CGST, state authorities for SGST and interstate authorities for IGST. State wise registration Under present structure, if a company has a different unit in one state, single VAT registration was required whereas, under proposed GST regime, separate registration would be needed for each entity even under the same state. Similarly, entity in different state would require different GST registration Negative Impacts No SSI Exemption The current tax regime provided an SSI exemption to the manufacturer whose previous year turnover was up to 150 lakhs, however, under GST regime, the exemption value is reduced to 10 lakhs by the government. Increases working capital requirements Under the GST regime, the stock transfer has become taxable which will lead to blockage of capital and thereby an increase in the requirements of working capital. Exclusion of petroleum products Five petroleum products are excluded from the prospect of GST. Petroleum is an essential product that is required by most of the factories to facilitate production. This exclusion has a negative impact on the manufacturers. Conclusion The inception of modern GST regime is aimed at facilitating numerous benefits to manufacturers so as to encourage productive activities by them, thereby enhancing the economic condition of the country. Although GST has some negative impact as well, however, on an overall basis, it will be a game changer for the Indian economy and may lead to increase in GDP by 1% to 1.5%. Necessary steps should be taken by the government to mitigate the negative impact or shortcomings to utilize full potential. Accordingly, it is advisable to all the existing VAT Dealers and Service Providers to opt for the online process of GST migration & Online GST registration whereby they will be provided a unique identification code called GSTIN. This is also necessary to avail the benefit of credit on existing stock. Recent Posts GST Tax Rate on Services How to Maintain Accounts and Records under GST E WAY BILL UNDER GST Fast Track Mergers and Acquisitions Composition Scheme Under GST Recent Tweets #Statement of #Financial #Transactions ( #SFT ) has Replaced #Annual Information #Report ( #AIR ) Notification… https://t.co/dbSEUGYyW7 11 days ago EZYBIZ India Consulting LLP Newsletter April 2017: https://t.co/tdb8L8Ca0w via @YouTube 25 days ago #CBEC has provided draft #GST_rules for maintenance of #accounts and #records for #public_comment … https://t.co/wPl1RmyIpi 36 days ago Author: Anil Agrawal EZYBIZ India Consulting LLP, New Delhi. The firm is business and tax consultancy firm providing consultancy in Taxation, Regulatory, Transfer pricing, Valuation, Corporate funding and Business set up matters. He may be reached at 9899217778 or [email protected] EZYBIZ India is a multi-disciplinary consulting firm, fully managed by specialized professionals who are expert in their respective fields. It has been founded with a vision to provide one window solutions to business, tax, regulatory, legal and allied consulting needs of clients from India and multinational companies operating/wants to operate in India. News GST Tax Rate on Services May 22, 2017 How to Maintain Accounts and Records under GST April 27, 2017 E WAY BILL UNDER GST April 20, 2017 General Home Newsletter About Us Partner With Us Contact us Terms & Conditions Refund Policy Privacy Policy Knowledge Resource Head Office Address: 306, 3rd floor, Vishwa Sadan Building, District Center, Janakpuri, New Delhi-110058 Mobile: 9899217778, [email protected] Copyright © 2016 Ezybiz India Consulting LLP All rights reserved. Private Limited Company Registration "
1,NA
2," Employment News ????? ??????? Home About Us Career NCS RTI E-Version Contact Current Issue: 27 May To 2 June - 2017 ,i.e. No. 9 | To subscribe Employment news online. Click on Eversion Tab. | Online portal for Journals of DPD Contents Admissions Results Web Exclusives Editorial Articles Web Advertisements Tenders Subscription Products Special Content Special Article vol. 21 Impact of GST On Economy and Employment Dr. S P Sharma Since the last many years the taxation system in India has undergone significant changes with rationalization of tax rates, simplification of tax laws, better compliance mechanisms, ease of tax payment and improved enforcement. Widening tax base and reducing the tax rates in order to bring out a large amount of goods into the tax bracket with ease of doing business has been the focal point of the changes. However, structure of indirect taxes is still driven by a multiplicity of taxes- some levied by the Centre and others by the States. Each of these taxes applies to a narrow base both in terms of the economic activity it covers and the base of many of these taxes overlaps creating the problem of double taxation with cascading impact on prices; hence, drawing out money that is generally twice of what should be paid from the pockets of the individuals. The present structure of taxation for goods and/or services in India impact the manufacturing processes, consumers and economy through its multiplicity, complexity and cascading nature. *Characterized as a cascading and distorted imposition of tax on production resulting in wrong allocation of resources and decreasing trend of productivity and declining the pace of economic growth. *Double taxation – arising out of bifurcation of goods and services differential treatment especially in the context of taxation of intangibles. *Inhibits voluntary and compliance and leads to a narrow Tax/GDP ratio due to a narrow tax base. Tax system has seen evolution right from the pre existing Central excise duty and the States sales tax systems to VAT, MODVAT and then changing to CENVAT. This has led to harmonizing of sales tax structure through implementation of uniform floor rates of sales tax. Introduction of VAT has been successful in India but there continued to be certain shortcomings in the VAT structure both at Central and State level. For example CENVAT does not include many Central taxes such as additional custom duty, surcharges etc. Moreover, no crucial steps were been implemented to capture the value added chain in the distribution trade below the manufacturing level in the existing scheme of CENVAT. Thus, in order to reduce these loopholes in the taxation system by eliminating the cascading effects of CENVAT and service taxes the rise of the revolutionary reform GST began. GST Bill (122nd Constitutional Amendment) has been passed by Rajya Sabha and Lok Sabha. With the objective of reducing the cascading effect of tax on the cost of goods and services, GST: The game changing biggest indirect tax reform is being implemented expectedly from April 1, 2017. The implementation of GST in the country is the historic move by the Government which is commendable as India will move towards high growth trajectory in the next few years. On the occasion of passage of the GST Bill in the Rajya Sabha, Hon’ble Prime Minister, Shri Narendra Modi, called GST as the best example of cooperative federalism and said that this reform will promote Make in India, help exports and thus boost employment while providing enhanced revenue. This is a path breaking decision to give India an indirect tax system for the 21st century. Hon’ble Prime Minister also added on this occasion that they continue to work with all parties and states to introduce a system that benefits all Indians and promotes a vibrant and unified national market. GST is a single tax on the supply of goods and services, right from the manufacturer to the consumer. Credits of input taxes paid at each stage will be available in the subsequent stage of value addition, which makes GST essentially a tax only on value addition at each stage. The final consumer will thus bear only the GST charged by the last dealer in the supply chain, with set-off benefits at all the previous stages. The taxes which are at the Centre and State level are being subsumed into GST includes taxes which are at Central level including Central Excise Duty, Additional Excise Duty, Service Tax, Additional Customs Duty commonly known as Countervailing Duty, Special Additional Duty of Customs. While at State level GST will subsume State Value Added Tax/Sales Tax, Entertainment Tax (other than the tax levied by the local bodies), Central Sales Tax (levied by the Centre and collected by the States), Octroi and Entry tax, Purchase Tax, Luxury tax, Taxes on lottery, betting and gambling. There will be two components of GST – Central GST (CGST) and State GST (SGST). Both Centre and States will simultaneously levy GST across the value chain. Tax will be levied on every supply of goods and services. Centre would levy and collect Central Goods and Services Tax (CGST), and States would levy and collect the State Goods and Services Tax (SGST) on all transactions within a State. The input tax credit of CGST would be available for discharging the CGST liability on the output at each stage. Similarly, the credit of SGST paid on inputs would be allowed for paying the SGST on output. No cross utilization of credit would be permitted. Make in India program would also get a boost with improvement in ease of doing business by doing away with multiplicity of taxes and their cascading impact. GST will enhance production possibility frontiers; creating millions of employment opportunities for young population and pushing India’s growth trajectory by two percentage points. Simplification of taxation and increased growth trajectory would attract more and more FDIs and increase further the employment opportunities in the economy. The spillover effects of GST are immense from increase in Government revenue vis-a-vis better tax compliance and reduced tax evasion, enabling greater control and facilitating efficient monitoring than the traditional taxation system. The increased tax revenues of Government would create scope for enhanced public investments in various social and physical infrastructural activities creating further scope for employment generation. The implementation of GST will reduce the barriers between states and will make the country a common market. GST will create a common base and common rates across goods and services and reduce transaction costs. A more comprehensive and wider coverage subsuming several Central and State taxes in GST and phasing out of Central Sales Tax will be beneficial for manufactures and consumers as this is expected to reduce the transaction costs of manufacturers and eventually would reflect in reduction of prices of goods. With the reduction in the compliance costs, our trade and industry will become more competitive leading to increased competitiveness not only in the domestic market but also in the international market. Benefits of GST for business and industry *Easy compliance: A robust and comprehensive IT system would be the foundation of the GST regime in India. Therefore, all tax payer services such as registrations, returns, payments, etc. would be available to the taxpayers online, which would make compliance easy and transparent. *Uniformity of tax rates and structures: GST will ensure that indirect tax rates and structures are common across the country, thereby increasing certainty and ease of doing business. In other words, GST would make doing business in the country tax neutral, irrespective of the choice of place of doing business. *Removal of cascading: A system of seamless tax-credits throughout the value-chain, and across boundaries of States, would ensure that there is minimal cascading of taxes. This would reduce hidden costs of doing business. *Improved competitiveness: Reduction in transaction costs of doing business would eventually lead to an improved competitiveness for the trade and industry. *Gain to manufacturers and exporters: The subsuming of major Central and State taxes in GST, complete and comprehensive set-off of input goods and services and phasing out of Central Sales Tax (CST) would reduce the cost of locally manufactured goods and services. This will increase the competitiveness of Indian goods and services in the international market and give boost to Indian exports. The uniformity in tax rates and procedures across the country will also go a long way in reducing the compliance cost. Benefits of GST for Central and State Governments *Simple and easy to administer: Multiple indirect taxes at the Central and State levels are being replaced by GST. Backed with a robust end-to-end IT system, GST would be simpler and easier to administer than all other indirect taxes of the Centre and State levied so far. *Better controls on leakage: GST will result in better tax compliance due to a robust IT infrastructure. Due to the seamless transfer of input tax credit from one stage to another in the chain of value addition, there is an inbuilt mechanism in the design of GST that would incentivize tax compliance by traders. *Higher revenue efficiency: GST is expected to decrease the cost of collection of tax revenues of the Government, and will therefore, lead to higher revenue efficiency. Benefits of GST for the consumers *Single and transparent tax proportionate to the value of goods and services: Due to multiple indirect taxes being levied by the Centre and State, with incomplete or no input tax credits available at progressive stages of value addition, the cost of most goods and services in the country today are laden with many hidden taxes. Under GST, there would be only one tax from the manufacturer to the consumer, leading to transparency of taxes paid to the final consumer. *Relief in overall tax burden: Because of efficiency gains and prevention of leakages, the overall tax burden on most commodities will come down, which will benefit consumers. In conclusion, simplification of taxation is one of the crucial ingredients of the ease of doing business as every potential investor looks at the taxation procedure of the prospective investment destination country. India though holds various strengths in terms of demography, demand and democracy but has been challenged by complications in the ease of doing business. GST implementation is to going to provide impetus to various reforms and polices introduced by the Government for the ease of doing business and to push India to a more simple, transparent and tax friendly regime. Due to multiple indirect taxes being levied by the Centre and State, with incomplete or no input tax credits available at progressive stages of value addition, the cost of most goods and services in the country today is impacted by cascading impact of taxation. Hence, GST is also beneficial for consumers as there would be only one tax from the manufacturers and service providers to the consumer leading to transparency and efficiency. It will prevent leakages from the system and provide relief in terms of reduced tax burden on most of the commodities. In a nutshell, GST will promote ease of doing businesses, help in reduction of transactions costs to businesses, boost manufacturing of goods and supply of services, increase price-cost margins of manufacturers, generate employment opportunities for the vast pool of young population with enhanced production possibility frontiers and push overall GDP growth of the economy in much higher trajectory. The need of the hour is to spread awareness at a larger scale about the implementation procedure and advantages of GST to every citizen of the country. (The author is Chief Economist with PHD Chamber of Commerce and Industry. email spsharma@phdcci.in) Related Links &nbsp| Monthly Highlights &nbsp| Tenders &nbsp|&nbsp Advertisement Corner &nbsp|&nbsp Disclaimer &nbsp|&nbsp Location &nbsp|&nbsp Team &nbsp|&nbsp Application &nbsp| &nbsp Download &nbsp Font |&nbsp Tag Copyright 2016, Employment News, All Rights Reserved "" Important announcement: (1)We are updating the e-version service due to which users could face some problems in accessing the e-version of the paper in our digital paper portal (en.eversion.in ).The service will be resumed soon with current issue . (2)All donations towards the Prime Minister's National Relief Fund(PMNRF) and the National Defence Fund(NDF) are notified for 100% deduction from taxable income under section 80G of the Income Tax Act, 1961"" "
3," A Research Paper on an Impact of Goods and Service Tax (GST) on Indian Economy | Open Access Journals Home Publications Conferences Register Contact ISSN: 2151-6219 Business and Economics Journal Toggle navigation Home Editorial Panel Editor-in-Chief Editorial Board Instructions for Authors Submit Manuscript Articles in press Current Issue Past Issues Previous Issue Archive Special Issues Guidelines Upcoming Special Issues Metrics Contact Make the best use of Scientific Research and information from our 700+ peer reviewed, Open Access Journals that operates with the help of 50,000+ Editorial Board Members and esteemed reviewers and 1000+ Scientific associations in Medical, Clinical, Pharmaceutical, Engineering, Technology and Management Fields. Meet Inspiring Speakers and Experts at our 3000+ Global Conferenceseries Events with over 600+ Conferences, 1200+ Symposiums and 1200+ Workshops on Medical, Pharma, Engineering, Science, Technology and Business Research Article Open Access A Research Paper on an Impact of Goods and Service Tax (GST) on Indian Economy Shefali Dani * Director, GLS (J.P.Shah) Institute of Business Administration, GLS University, India *Corresponding Author: Shefali Dani Director GLS (J.P.Shah) Institute of Business Administration GLS University, India Tel: 07926447636 E-mail: sddani1974@gmail.com Received Date : February 16, 2016; Accepted Date: November 14, 2016; Published Date : November 20, 2016 Citation: Dani S (2016) A Research Paper on an Impact of Goods and Service Tax (GST) on Indian Economy. Bus Eco J 7: 264. doi: 10.4172/2151-6219.1000264 Copyright: © 2016 Dani S. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Visit for more related articles at Business and Economics Journal View PDF Download PDF Abstract GST also known as the Goods and Services Tax is defined as the giant indirect tax structure designed to support and enhance the economic growth of a country. More than 150 countries have implemented GST so far. However, the idea of GST in India was mooted by Vajpayee government in 2000 and the constitutional amendment for the same was passed by the Loksabha on 6th May 2015 but is yet to be ratified by the Rajyasabha. However, there is a huge hue and cry against its implementation. It would be interesting to understand why this proposed GST regime may hamper the growth and development of the country. Keywords Goods and service tax ; Indian economy Introduction The Goods and Services Tax (GST) is a vast concept that simplifies the giant tax structure by supporting and enhancing the economic growth of a country. GST is a comprehensive tax levy on manufacturing, sale and consumption of goods and services at a national level [ 1 ]. The Goods and Services Tax Bill or GST Bill, also referred to as The Constitution (One Hundred and Twenty-Second Amendment) Bill, 2014, initiates a Value added Tax to be implemented on a national level in India. GST will be an indirect tax at all the stages of production to bring about uniformity in the system. On bringing GST into practice, there would be amalgamation of Central and State taxes into a single tax payment. It would also enhance the position of India in both, domestic as well as international market . At the consumer level, GST would reduce the overall tax burden, which is currently estimated at 25-30%. Under this system, the consumer pays the final tax but an efficient input tax credit system ensures that there is no cascading of taxes- tax on tax paid on inputs that go into manufacture of goods [ 2 ]. In order to avoid the payment of multiple taxes such as excise duty and service tax at Central level and VAT at the State level, GST would unify these taxes and create a uniform market throughout the country. Integration of various taxes into a GST system will bring about an effective cross-utilization of credits . The current system taxes production, whereas the GST will aim to tax consumption. Experts have enlisted the benefits of GST as under: • It would introduce two-tiered One-Country-One-Tax regime. • It would subsume all indirect taxes at the center and the state level. • It would not only widen the tax regime by covering goods and services but also make it transparent. • It would free the manufacturing sector from cascading effect of taxes, thus by improve the cost-competitiveness of goods and services. • It would bring down the prices of goods and services and thus by, increase consumption. • It would create business-friendly environment, thus by increase tax-GDP ratio. • It would enhance the ease of doing business in India. Why no to GST? However, the question is: is the picture as rosy as it is portrayed? Wall Street firm Goldman Sachs, in a note ‘India: Q and A on GST — Growth Impact Could Be Muted’, has put out estimates that show that the Modi Government’s model for the Goods and Services Tax (GST) will not raise growth, will push up consumer prices inflation and may not result in increased tax revenue collections [ 3 ]. There appears to be certain loopholes in the proposed GST tax regime which may be detrimental in delivering the desired results. They are: India has adopted dual GST instead of national GST. It has made the entire structure of GST fairly complicated in India. The centre will have to coordinate with 29 states and 7 union territories to implement such tax regime. Such regime is likely to create economic as well as political issues. The states are likely to lose the say in determining rates once GST is implemented. The sharing of revenues between the states and the centre is still a matter of contention with no consensus arrived regarding revenue neutral rate. Chief Economic Advisor Arvind Subramanian on 4 December 2015 suggested GST rates of 12% for concessional goods, 17-18% for standard goods and 40% for luxury goods which is much higher than the present maximum service tax rate of 14%. Such initiative is likely to push inflation. The proposed GST structure is likely to succeed only if the country has a strong IT network. It is a well-known fact that India is still in the budding state as far as internet connectivity is concerned. Moreover, the proposed regime seems to ignore the emerging sector of e-commerce . E-commerce does not leave signs of the transaction outside the internet and has anonymity associated with it. As a result, it becomes almost impossible to track the business transaction taking place through internet which can be business to business, business to customer or customer to customer. Again, there appears to be no clarity as to whether a product should be considered a service or a product under the concept of E-commerce. New techniques can be developed to track such transactions but until such technologies become readily accessible, generation of tax revenue from this sector would continue to be uncertain and much below the expectation. Again E-commerce has been insulated against taxation under custom duty moratorium on electronic transmissions by the WTO Bali Ministerial Conference held in 2014 [ 4 ]. Communication is considered to be necessity and one cannot do without communication. In modern times, communication has assumed the dimension of telecommunication. The proposed GST regime appears to be unfavorable for telecommunication sector as well “One of the major drawbacks of the GST regime could be the direct spike in the service tax rate from 14% to 20-22%” (GST: Impact on the Telecommunications Sector in India). The proposed GST appears to be silent on whether telecommunication can be considered under the category of goods or services. The entire issue of telecommunication sector assumes a serious proportion when India’s rural teledensity is not even 50% [ 5 ]. The proposed GST regime intends to keep petroleum products, electricity, real estate and liquor for human consumption out of the purview of GST It is a well-known fact that petroleum products have been a major contributor to inflation in India. Inflation in India depends on how the government intends to include petroleum products under GST in future. Electricity is essential for the growth and development of India. If electricity is included under standard or luxury goods in future then it would badly affect the development of India. It is said that GST would impact negatively on the real estate market. It would add up to 8% to the cost of new homes and reduce demand by about 12%. The proposed GST regime “would be capable of being levied on sale of newspapers and advertisements therein” This would give the governments the access to substantial incremental revenues since this industry has historically been tax free in its entirety” [ 6 ]. It sounds ridiculous but the provision of GST is likely to make the supervision of operations by its Board/senior managers across the company’s offices in different parts of the country a taxable service by allowing each state to raise a GST demand on the company. Again there appears to be lack of consensus over fixing the revenue rate as well as threshold limit. One thing is for sure, services in India are going to be steeply costly if GST is fixed above the present service tax rate of 14% which in turn will spiral up inflation in India. “Asian countries which implemented GST all had witnessed retail inflation in the year of implementation [ 6 , 7 ]. Conclusion The proposed GST regime is a half-hearted attempt to rationalize indirect tax structure. More than 150 countries have implemented GST. The government of India should study the GST regime set up by various countries and also their fallouts before implementing it. At the same time, the government should make an attempt to insulate the vast poor population of India against the likely inflation due to implementation of GST. No doubt, GST will simplify existing indirect tax system and will help to remove inefficiencies created by the existing current heterogeneous taxation system only if there is a clear consensus over issues of threshold limit, revenue rate, and inclusion of petroleum products, electricity, liquor and real estate. Until the consensus is reached, the government should resist from implementing such regime. References The Economic Times (2009) Featured Articles from The Economic Times. Gst India (2015) Economy and Policy. Mehra P (2015) Modi govt.’s model for GST may not result in significant growth push. The Hindu. Sardana M (2005) Evolution Of E?Commerce In India Part 3. TRAI (2015) Highlights of Telecom Subscription Data as on 28th February. Patrick M (2015) Goods and Service Tax: Push for Growth. Centre for Public Policy Research (CPPR). SKP (2014) GST: Impact on the Telecommunications Sector in India. Select your language of interest to view the total content in your interested language Post your comment Share This Article Relevant Topics Account Accountancy and Finance Accounting Information Accounting Review Accounting ethics Accounting information system Applied Economics Assessment Scales Audit Avenues of Investment BCM Balance sheet Banking Banking Research Banking Research Studies Budgeting Business Business Cycle Business Management Business Research Business Theory CRM Capital Markets Capital Movements Capital Structure Chief Marketing Officer Computable General Equilibrium Model Corporate Finance Corporate Governance Structure Corporate governance system Cost Accounting Credit Demand Theory E-Governance E-Retailing Market E-banking Economic Cycle Economic Growth Economic Policies Economic Resources Economics Studies Electronic Commerce Empirical Analysis Entrepreneurship Finance and accounting Financial Analysis Financial Crisis Financial Management services Financial Markets Financial Reporting Financial Reporting Standard Financial Risk Financial accounting Financial and Nonfinancial Information Financial plan Fiscal and tax policies Foreign Exchange General finance Global Accounting Global Market Gross Domestic Product -GDP HRM Health Management Human Capital Income Smoothing Indexation Industrial Business Intellectual Capital Disclosures International Business International finance Logistics management Management Management Accounting Managerial accounting Marginal Utility Market Analysis Market Equilibrium Marketing Analysis Marketing management Marketing-Accounting-Finance Interface Micro Economics Microfinance Monetary Policy Multinational finance Nasdaq Organizational studies Panel Data Parameter Estimation Primary Market Profitability Reporting Management Risk management Secondary Market Small Firms Social Economics SocioEconomics Status Statistics Stock Market Stock Market Returns Stock Return Predictability Strategic Cost Analysis Strategic Information Strategic management Taxation Time Series Trading Wealth Management World banking spreadsheet design Recommended Journals Business & Management Journals Accounting Journals Economics Journals Finance Journals Marketing Journals Management Journals View More Article Tools Export citation Share/Blog this article Article Usage Total views: 9413 [From(publication date): December-2016 - May 31, 2017] Breakdown by view type HTML page views : 7899 PDF downloads : 1514 Post your comment Name: * E-mail: Your comment: * Anti Spam Code: Can't read the image? click here to refresh Peer Reviewed Journals Make the best use of Scientific Research and information from our 700 + peer reviewed, Open Access Journals Journals by Subject Agri and Aquaculture Biochemistry Bioinformatics & Systems Biology Biomedical Sciences Business & Management Chemical Engineering Chemistry Clinical Sciences Computer Science Economics & Accounting Engineering Environmental Sciences Food & Nutrition General Science Genetics & Molecular Biology Geology & Earth Science Immunology & Microbiology Informatics Materials Science Mathematics Medical Sciences Nanotechnology Neuroscience & Psychology Nursing & Health Care Pharmaceutical Sciences Physics Plant Sciences Social & Political Sciences Veterinary Sciences Clinical & Medical Journals Anesthesiology Cardiology Clinical Research Dentistry Dermatology Diabetes & Endocrinology Gasteroenterology Genetics Haematology Healthcare Immunology Infectious Diseases Medicine Microbiology Molecular Biology Nephrology Neurology Nursing Nutrition Oncology Ophthalmology Orthopaedics Pathology Pediatrics Physicaltherapy & Rehabilitation Psychiatry Pulmonology Radiology Reproductive Medicine Surgery Toxicology International Conferences 2017-18 Meet Inspiring Speakers and Experts at our 3000+ Global Annual Meetings Conferences by Country USA Australia UAE Italy Germany UK Japan Brazil South Korea Netherlands Spain Canada China France India Malaysia Singapore South Africa New Zealand Philippines Poland Austria Turkey Finland Ukraine Denmark Mexico Norway Medical & Clinical Conferences Microbiology Diabetes & Endocrinology Nursing Healthcare Management Neuroscience Immunology Gastroenterology Genetics & Molecular Biology Pathology Alternative Healthcare Pediatrics Ophthalmology Oncology & Cancer Cardiology Dentistry Physical Therapy Rehabilitation Psychiatry Infectious Diseases Medical Ethics & Health Policies Palliativecare Reproductive Medicine & Women Healthcare Surgery Radiology Conferences By Subject Pharmaceutical Sciences Pharma Marketing & Industry Agri, Food & Aqua Nutrition Physics & Materials Science Environmental Science EEE & Engineering Veterinary Chemical Engineering Business Management Massmedia Geology & Earth science Contact Us Agri, Food, Aqua and Veterinary Science Journals Dr. Krish agrifoodaquavet@omicsonline.com 1-702-714-7001 Extn: 9040 Clinical and Biochemistry Journals Datta A clinical_biochem@omicsonline.com 1-702-714-7001 Extn: 9037 Business & Management Journals Ronald business@omicsonline.com 1-702-714-7001 Extn: 9042 Chemical Engineering and Chemistry Journals Gabriel Shaw chemicaleng_chemistry@omicsonline.com 1-702-714-7001 Extn: 9040 Earth & Environmental Sciences Katie Wilson environmentalsci@omicsonline.com 1-702-714-7001 Extn: 9042 Engineering Journals James Franklin engineering@omicsonline.com 1-702-714-7001 Extn: 9042 General Science and Health care Journals Andrea Jason generalsci_healthcare@omicsonline.com 1-702-714-7001 Extn: 9043 Genetics and Molecular Biology Journals Anna Melissa genetics_molbio@omicsonline.com 1-702-714-7001 Extn: 9006 Immunology & Microbiology Journals David Gorantl immuno_microbio@omicsonline.com 1-702-714-7001 Extn: 9014 Informatics Journals Stephanie Skinner omics@omicsonline.com 1-702-714-7001 Extn: 9039 Material Sciences Journals Rachle Green materialsci@omicsonline.com 1-702-714-7001 Extn: 9039 Mathematics and Physics Journals Jim Willison mathematics_physics@omicsonline.com 1-702-714-7001 Extn: 9042 Medical Journals Nimmi Anna medical@omicsonline.com 1-702-714-7001 Extn: 9038 Neuroscience & Psychology Journals Nathan T neuro_psychology@omicsonline.com 1-702-714-7001 Extn: 9041 Pharmaceutical Sciences Journals John Behannon pharma@omicsonline.com 1-702-714-7001 Extn: 9007 Social & Political Science Journals Steve Harry social_politicalsci@omicsonline.com 1-702-714-7001 Extn: 9042 © 2008-2017 OMICS International - Open Access Publisher. Best viewed in Mozilla Firefox | Google Chrome | Above IE 7.0 version "
